Game Development,Web Development,Web Design,Network Engineer,Machine Learning ,AI,Database Engineer
c#,html,adobe dreamweaver cc,switches,data visualization,machine learning,database.
c++,css,wix,ccna,predictive analysis,python,stored procedure
unity,python,wordpress,firewalls,statistical modelling,java,data modelling
unreal engine,java script,weebly,ccnp,data mining,sql,relational database
computer graphics,php,webflow,hardware,clustering & classification,deep learning,sql
blender,.net,bluefish,vpn,data analytics,block chain,software development
character modelling,angular,visual studio code,wan,quantitative analysis,big data,scripting
,sublime text,adobe photoshop,wireless,web scraping,c++,user interface design
,chrome developer tool,adobe illustrator,lan,,,
,bootstrap,,network security,,,
,jquery,,,,,
,ide,,,,,
